CARRIER,FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,CRS_ARR_TIME
DL,336,ATL,ICT,1240,1408
DL,336,ICT,ATL,1500,1816
DL,340,MCO,BOS,1945,2240
DL,341,DTW,BWI,1221,1358
DL,343,MCO,DTW,530,806
DL,346,LGA,FLL,2025,2329
DL,348,SJU,JFK,2050,2351
DL,352,LGA,TPA,2030,2337
DL,356,ATL,MSP,2220,2358
DL,362,DTW,DEN,1527,1644
DL,371,SLC,BIL,2040,2209
DL,374,ATL,DCA,2055,2237
DL,377,ATL,ECP,1414,1418
DL,377,ECP,ATL,1455,1709
DL,380,DTW,EWR,1544,1729
DL,381,LAX,PDX,1920,2154
DL,388,PDX,MSP,920,1443
DL,391,SJU,JFK,1258,1603
DL,392,ATL,ORD,1500,1605
DL,393,ORD,ATL,1240,1543
DL,395,SJU,DTW,1546,1938
DL,396,MSY,LAX,1750,2027
DL,400,JFK,LAS,1540,1842
DL,403,TPA,JFK,1855,2138
DL,404,TPA,JFK,1158,1439
DL,406,ATL,DAY,2145,2320
DL,407,MIA,JFK,1525,1827
DL,409,MCO,JFK,1605,1842
DL,411,DTW,TPA,2029,2315
DL,417,HNL,LAX,1200,1950
DL,418,SFO,JFK,730,1602
DL,419,JFK,SFO,1545,1930
DL,420,ATL,JFK,1210,1426
DL,421,DTW,JFK,1959,2151
DL,422,JFK,LAX,1000,1335
DL,423,JFK,LAX,1130,1505
DL,424,JFK,LAS,2055,2358
DL,425,JFK,PDX,1959,2326
DL,426,JFK,HNL,930,1608
DL,427,JFK,BOS,1300,1417
DL,428,JFK,SEA,800,1130
DL,430,JFK,SFO,1130,1503
DL,431,JFK,SFO,1815,2200
DL,433,JFK,SLC,1305,1627
DL,435,JFK,MSP,700,920
DL,436,JFK,BOS,1710,1835
DL,439,JFK,SLC,920,1247
DL,440,JFK,SEA,1920,2248
DL,443,JFK,LAX,825,1200
DL,444,SLC,JFK,1100,1725
DL,445,JFK,SLC,1925,2254
DL,446,DEN,JFK,1205,1745
DL,447,JFK,LAX,1605,1945
DL,449,JFK,LAX,1655,2035
DL,451,JFK,SJU,1925,22
DL,453,JFK,ATL,1335,1611
DL,454,JFK,BOS,1459,1623
DL,456,JFK,ATL,600,842
DL,458,JFK,LAX,1402,1725
DL,459,JFK,SFO,745,1128
DL,460,JFK,BOS,1930,2056
DL,462,JFK,MCO,2055,2356
DL,463,JFK,SLC,655,1026
DL,464,FLL,JFK,1545,1841
DL,465,JFK,STT,840,1343
DL,466,SLC,JFK,855,1532
DL,468,ATL,JFK,1730,1946
DL,469,JFK,ATL,805,1052
DL,475,JFK,MSP,1650,1906
DL,476,BOS,JFK,1700,1830
DL,477,JFK,ATL,1750,2025
DL,478,JFK,SFO,930,1313
DL,485,JFK,SEA,1500,1823
DL,488,JFK,LAS,800,1059
DL,494,JFK,SLC,1105,1426
DL,504,ATL,EWR,1930,2145
DL,506,SJU,ATL,1514,1823
DL,521,DTW,SJU,910,1455
DL,522,SLC,CLT,1727,2319
DL,540,SLC,DEN,1525,1655
DL,541,CID,ATL,546,905
DL,542,PHX,DTW,1327,1917
DL,549,ATL,SJU,1750,2223
DL,552,ATL,MSY,2110,2148
DL,555,BIL,MSP,730,1029
DL,559,ATL,SJU,945,1417
DL,560,PHX,SEA,1551,1801
DL,560,SEA,PHX,1115,1513
DL,568,LAX,ATL,1130,1850
DL,571,ATL,STT,910,1337
DL,575,EWR,ATL,615,850
DL,581,SLC,SEA,1705,1820
DL,582,DTW,LGA,1540,1725
DL,583,LGA,DTW,1240,1435
DL,589,MSP,SEA,900,1052
DL,590,SJU,ATL,930,1229
DL,593,HNL,LAX,2315,655
DL,603,DTW,MSP,2009,2115
DL,604,MSP,SFO,1540,1747
DL,607,MSP,PHX,702,941
DL,611,LAX,HNL,830,1240
DL,613,LAX,JFK,1300,2130
DL,614,PBI,ATL,1637,1835
DL,618,JAX,MSP,800,1008
DL,619,ATL,MIA,1340,1536
DL,622,SEA,MSP,1329,1854
DL,623,LGA,MCO,800,1059
DL,626,MCO,BOS,1200,1456
DL,627,RSW,ATL,535,724
DL,628,MSP,SLC,1120,1316
DL,629,FLL,LGA,800,1053
DL,632,LGA,DEN,1800,2036
DL,637,MSP,DEN,2017,2140
DL,638,STT,ATL,1345,1657
DL,639,DCA,ATL,710,915
DL,648,ATL,DCA,1900,2041
DL,649,MSP,JFK,1508,1850
DL,658,MSP,MIA,725,1213
